ROR1			upstream		
S100A4			upstream		watanabe
KIAA0406					watanabe
SNRNP200					watanabe
SQSTM1					watanabe
PFKFB2			upstream		
LRRC59					watanabe
PFKFB4			upstream		
PFKFB3			upstream		
MAZ			downstream		
NTPCR			upstream		
GLIS1			downstream		
GLIS2			downstream		
STK33			upstream		
STK36			upstream		
STK38			upstream		watanabe
E4F1			downstream		
ZBTB17			downstream		
DR1			downstream		
BRPF1			downstream		
BRPF3			downstream		
ZBTB10			downstream		
EEF2					watanabe
NFKB1			downstream		
PTPRE			upstream		
STK24			upstream		
UBLCP1			upstream		
PTPRA			upstream		
STK25			upstream		
NFE2L3			downstream		
MDM4			downstream		
ZNF653			downstream		
NFE2L1			downstream		
NFE2L2			downstream		
ZNF512B			downstream		
PPP1R13B			upstream		
HSP90AB1					watanabe
SH2D4A			upstream		
LRRK1			upstream		
FHL2			downstream		
SUMO4				ubiSumo	
ARRB2			upstream		
FOXM1			downstream		
CAPZB					watanabe
SUMO1				ubiSumo	
SUMO3				ubiSumo	
SUMO2				ubiSumo	
HMG20B			downstream		
MDP1			upstream		
DNM1L					watanabe
ZNF641			downstream		
NCK1			upstream		
EMX1			downstream		
PPP1R12A			upstream		
ARNT			downstream		
PPM1B			upstream		watanabe
ZNF639			downstream		
ZNF638			downstream		
BIRC6					watanabe
PPP1R12B			upstream		
BDP1			downstream		
SLC25A5					watanabe
MET			upstream		
GTF3C1			downstream		
PPP1R15B			upstream		
GTF3C4			downstream		
GTF3C5					watanabe
PPM1N			upstream		
FOXK2			downstream		
PPM1D			upstream		
PTPLB			upstream		
BARX2			downstream		
PPM1F			upstream		
PPM1G			upstream		watanabe
PTPLA			upstream		
ZBTB40			downstream		
NCLN					watanabe
PTPRZ1			upstream		
ZNF628			downstream		
ZNF624			downstream		
PCBD1			downstream		
ZNF623			downstream		
PCBD2			downstream		
PTPN1			upstream		
NDUFA8					watanabe
PPP1R14B			upstream		
PPP1R14C			upstream		
FOXJ3			downstream		
IMMT					watanabe
MERTK			upstream		
PRC1					watanabe
PTPN6			upstream		
EIF4A3					watanabe
JMJD1C			downstream		
ZDHHC7			downstream		
ZDHHC2			downstream		
EPHB2			upstream		
EPHB4			upstream		
EPHB3			upstream		
ACVR1			upstream		
ARSA			upstream		
EPHA4			upstream		
SFMBT1			downstream		
FOXH1			downstream		
ZFP2			downstream		
PPP1R3C			upstream		
PPP1R3B			upstream		
THAP7			downstream		
ULK3			upstream		
CD2BP2			upstream		
ULK2			upstream		
ALPK3			upstream		
PREB			downstream		
EPHA1			upstream		
L3MBTL3			downstream		
L3MBTL2			downstream		
PPP1R35			upstream		
WNK4			upstream		
MST1R			upstream		
PIK3R1			upstream		
ATP5O					watanabe
DHX30					watanabe
SFRS7					watanabe
ZNF707			downstream		
ARSJ			upstream		
ARSK			upstream		
SFRS9					watanabe
HIVEP1			downstream		
DHX38			downstream		
HIVEP3			downstream		
HIVEP2			downstream		
ARSB			upstream		
RBM10					watanabe
WWTR1			downstream		
XRCC4			downstream		
XRCC5			downstream		
EAF1			downstream		
INTS2					watanabe
PRG2			upstream		
ICK			upstream		
SNW1			downstream		watanabe
PPP1R1A			upstream		
WNK1			upstream		
ID2			downstream		
RPL27A					watanabe
ID3			downstream		
INTS12			downstream		
SUV39H2			downstream		
PTPRR			upstream		
FOXE3			downstream		
FKBP15			upstream		
PPP1R11			upstream		
PPP1R10			upstream		
PTPRJ			upstream		
PTPRK			upstream		
BRCA1			downstream		
BRCA2			downstream		
PPP1R18			upstream		
AP2A2					watanabe
PTPRF			upstream		
DHX15					watanabe
IDS			upstream		
CTSD					watanabe
NCOA1			downstream		
NCOA2			downstream		
FOXD2			downstream		
NCOA5					watanabe
NCOA6			downstream		
NCOA4			downstream		
OSMR					watanabe
ZFX			downstream		
CSDE1			downstream		
SFI1			upstream		
STK40			upstream		
FOXC2			downstream		
FOXC1			downstream		
INPP1			upstream		
SATB1			downstream		
PRKX			upstream		
CAMKK1			upstream		
PAK1			upstream		
SERTAD3			downstream		
RXRA			downstream		
SERTAD2			downstream		
HSF2			downstream		
PAK6			upstream		
SCAND1			downstream		
CCT8					watanabe
PAK4			upstream		
BCAP31			upstream		
NPM2			downstream		
MOK	merlin		upstream		
RPA2			upstream		
PPP1CA			upstream		
FKBP1A			upstream		
PER2			downstream		
PER1			downstream		
GFI1B			downstream		
CSDC2			downstream		
CCNG1			upstream		
FKBP1B			upstream		
TARDBP			downstream		
FOXA2			downstream		
MAD2L1					watanabe
FOXA1			downstream		
KLHL33		protreg			
PPME1			upstream		
KHSRP					watanabe
PPFIA1			upstream		
EP300			downstream		
BANF1			upstream		
SBF1			upstream		
LMTK2			upstream		
WBP11			downstream		
ERN2			upstream		
GEMIN4			upstream		watanabe
HOMEZ			downstream		
PSMD12					watanabe
VCP					watanabe
PSMD11					watanabe
PSMD14					watanabe
YTHDC1			downstream		
PSMD13					watanabe
ARHGEF28					watanabe
TAF5L			downstream		
DEAF1			downstream		
CYC1					watanabe
IVNS1ABP			downstream		
ZFHX2			downstream		
VDR			downstream		
ECD			downstream		watanabe
CCDC135					watanabe
NFXL1			downstream		
ISG15		protreg			
SSH2			upstream		
CLK4			upstream		
CLK3			upstream		
CLK2			upstream		
CLK1			upstream		
H1F0			downstream		
PHF14			downstream		
PHF13			downstream		
TAB1			upstream		
PHF17			downstream		
PHF19			downstream		
YWHAE					watanabe
LGALS3BP					watanabe
GSK3B			upstream		
DDX3X					watanabe
MAST4			upstream		
MAST3			upstream		
YWHAB			upstream		
CHD8			downstream		
MAST1			upstream		
HMGB2			downstream		
HMGB3			downstream		
ARHGEF10L					watanabe
PPP1R9A			upstream		
AFF4			downstream		
CHD1			downstream		
AFF1			downstream		
GATAD1			downstream		
LRRFIP1			downstream		
YWHAG			upstream		
EED			downstream		
DDX55					watanabe
DDX54			downstream		
SSTR2			upstream		
YWHAZ			upstream		watanabe
CREB3			downstream		
RCN1					watanabe
CREB1			downstream		
NDUFS8					watanabe
IRF2			downstream		
IRF7	merlin		downstream		
IRF6			downstream		
IRF9			downstream		
MVP			upstream		
TAF9			downstream		
DDX20			downstream		
DDX21					watanabe
ACVR1B			upstream		
SAMHD1					watanabe
AURKA			upstream		
TAF1A			downstream		
VHL			downstream		
PDLIM4			downstream		
TAF15					watanabe
TAF12			downstream		
TAF13			downstream		
TAF10			downstream		
TAF11			downstream		
LAMB1		protreg			
MAPK14			upstream		
ACVR2A			upstream		
MAPK13			upstream		
EEPD1			upstream		
MAPK11			upstream		
SBK1			upstream		
ASB8			downstream		
ASB6			downstream		
TAF7			downstream		
ASB4			downstream		
TAF6			downstream		
VIM					watanabe
TAF4			downstream		
ASB3			downstream		
RAN					watanabe
ASB1			downstream		
TAF1			downstream		
EHF			downstream		
RPL3					watanabe
MAML1			downstream		
TRRAP			downstream		
GABPB1			downstream		
SOX21			downstream		
CREB3L3			downstream		
SOX17			downstream		
CREB3L4			downstream		
SOX18			downstream		
MYC			downstream		
MYB			downstream		
CDK20			upstream		
HOXA3			downstream		
HOXA2			downstream		
ANKS1A			downstream		
HOXA7			downstream		
HOXA5			downstream		
CCRN4L			downstream		
MED8			downstream		
SOX13			downstream		
SOX12			downstream		
MED4			downstream		
MED6			downstream		
SYTL2			upstream		
BIN1			downstream		
HOXB4			downstream		
HOXB3			downstream		
HOXB2			downstream		
RPL26					watanabe
ANKK1			upstream		
HOXB7			downstream		
HOXB6			downstream		
ZNF157			downstream		
HOXB5			downstream		
SRCAP			downstream		
RPN1					watanabe
PRDX3					watanabe
PPP3R1			upstream		
PPP3R2			upstream		
PPP4C			upstream		
SERPINH1					watanabe
NKX2-5			downstream		
ZNF148			downstream		
PPAPDC1B			upstream		
NKX2-3			downstream		
ZNF146			downstream		
S100A10					watanabe
CDK17			upstream		
CDK18			upstream		
ZNF142			downstream		
JUND			downstream		
TRIP4			downstream		
BRAF			upstream		
CDC7			upstream		
KIAA1244			upstream		
PPP5C			upstream		
TRIP6			downstream		
CDK12			upstream		
CDK13			upstream		
CDK14			upstream		
CDK16			upstream		
ZNF131			downstream		
ELL			downstream		
TGFB1I1			downstream		
CLTC					watanabe
SFRS2B					watanabe
LPCAT1					watanabe
TCF20			downstream		
GLI1			downstream		
GLI2			downstream		
ING2			downstream		
IMPA1			upstream		
CSRP1					watanabe
IMPA2			upstream		watanabe
TRIM5	merlin		downstream		
ENSA			upstream		
RIOK1			upstream		
GPRASP2					watanabe
BRD1			downstream		
TESC					watanabe
TCF12			downstream		
