#pid	gene_ids	eids	pathfinders	sif_edges
'p451'	'CTNNB1'|'COPS5'|'NUPR1'	'edge13'|'edge231'	'watanabe_path'	CTNNB1 u COPS5|COPS5 u NUPR1
'p452'	'SSTR2'|'ELAVL1'|'AGO1'|'ZNFX1'	'edge283'|'edge504'|'edge573'	'merlin_path'	SSTR2 u ELAVL1|ELAVL1 u AGO1|AGO1 u ZNFX1
'p453'	'PSMD11'|'TP53'|'NUPR1'	'edge150'|'edge510'	'watanabe_path'	PSMD11 u TP53|TP53 d NUPR1
'p454'	'HEXIM1'|'TP53'|'NUPR1'	'edge59'|'edge510'	'watanabe_path'	HEXIM1 u TP53|TP53 d NUPR1
'p455'	'PHB'|'AGO2'|'ZNFX1'	'edge401'|'edge96'	'watanabe_path'	PHB u AGO2|AGO2 u ZNFX1
'p456'	'GNAI2'|'MCHR1'|'SSTR2'	'edge541'|'edge531'	'watanabe_path'	GNAI2 d MCHR1|MCHR1 u SSTR2
'p457'	'GNAI2'|'NPW'|'SSTR2'	'edge378'|'edge508'	'watanabe_path'	GNAI2 d NPW|NPW u SSTR2
'p458'	'RPL15'|'AGO2'|'ZNFX1'	'edge443'|'edge96'	'watanabe_path'	RPL15 u AGO2|AGO2 u ZNFX1
'p459'	'SF3B1'|'AGO1'|'ZNFX1'	'edge358'|'edge573'	'watanabe_path'	SF3B1 u AGO1|AGO1 u ZNFX1
'p460'	'CCT8'|'TP53'|'NUPR1'	'edge158'|'edge510'	'watanabe_path'	CCT8 u TP53|TP53 d NUPR1
'p461'	'NCOA5'|'CREBBP'|'NUPR1'	'edge311'|'edge389'	'watanabe_path'	NCOA5 u CREBBP|CREBBP u NUPR1
'p462'	'EIF3A'|'PAPD7'|'ZNFX1'	'edge104'|'edge329'	'watanabe_path'	EIF3A u PAPD7|PAPD7 u ZNFX1
'p463'	'SNW1'|'PAXIP1'|'NUPR1'	'edge66'|'edge226'	'watanabe_path'	SNW1 u PAXIP1|PAXIP1 u NUPR1
'p464'	'PSMC3'|'TP53'|'NUPR1'	'edge377'|'edge510'	'watanabe_path'	PSMC3 u TP53|TP53 d NUPR1
'p465'	'GNAI2'|'NPY4R'|'SSTR2'	'edge398'|'edge410'	'watanabe_path'	GNAI2 d NPY4R|NPY4R u SSTR2
'p466'	'SLC25A5'|'AGO1'|'ZNFX1'	'edge179'|'edge573'	'watanabe_path'	SLC25A5 u AGO1|AGO1 u ZNFX1
'p467'	'GNAI2'|'KNG1'|'SSTR2'	'edge192'|'edge238'	'watanabe_path'	GNAI2 d KNG1|KNG1 u SSTR2
'p468'	'RPL27A'|'INS-IGF2'|'SSTR2'	'edge36'|'edge3'	'watanabe_path'	RPL27A u INS-IGF2|INS-IGF2 d SSTR2
'p469'	'UBR5'|'SRC'|'SSTR2'	'edge580'|'edge198'	'watanabe_path'	UBR5 u SRC|SRC u SSTR2
'p470'	'STK38'|'AGO3'|'ZNFX1'	'edge586'|'edge458'	'watanabe_path'	STK38 u AGO3|AGO3 u ZNFX1
'p471'	'CTSD'|'APP'|'SSTR2'	'edge441'|'edge350'	'watanabe_path'	CTSD u APP|APP u SSTR2
